exac_id,name
amnhc_2000305,Archbold Expedition to New Guinea
amnhc_2000306,Bartlett-Norcross Expedition
amnhc_2000307,Brown Vertebrate Palaeontology Expeditions
amnhc_2000308,Davison African Expedition
amnhc_2000309,Lutz Canal Zone Expedition
amnhc_2000310,Martin Johnson African Expedition
amnhc_2000311,Miner-Olsen Expedition to West Indies
amnhc_2000312,Mitra Expedition to Burma
amnhc_2000313,Second Byrd Antarctic Expedition
amnhc_2000314,Shapiro Tahiti Expedition
amnhc_2000315,Vernay Malaysian Expedition
amnhc_2000316,Scarritt Patagonia Expedition
amnhc_2000317,Anthony Wyoming Expedition
amnhc_2000318,Bird Labrador Expedition
amnhc_2000319,Grand Canyon Entomological Expedition
amnhc_2000320,Heilner Cuba Expedition
amnhc_2000321,Puerto Rico Archaeological Survey
amnhc_2000322,Archbold-Rand New Guinea Expedition
amnhc_2000323,Bird Chilean Expedition
amnhc_2000324,Snyder Canadian Expedition
amnhc_2000325,Templeton-Crocker Pacific Expedition
amnhc_2000326,Vernay-Hopwood Chindwin Expedition
amnhc_2000327,American Museum-Sinclair Dinosaur Expedition
amnhc_2000328,Sage West China Expedition
amnhc_2000329,American Museum-Hispaniola Expedition
amnhc_2000330,AMNH-Cornell University Expedition
amnhc_2000331,Colombia Entomological Expedition
amnhc_2000332,Cutting-Vernay Expedition to Tibet
amnhc_2000333,Davison Alberta Expedition
amnhc_2000334,Harriman Idaho Expedition
amnhc_2000335,Morden Hawaii Expedition
amnhc_2000336,Nichols Nevada Expedition
amnhc_2000337,Preston California Expedition
amnhc_2000338,Scarritt Montana Expedition
amnhc_2000339,Snyder Colorado Expedition
amnhc_2000340,Vaillant Mexico Expeditions (1928-1936)
amnhc_2000341,Alberta-British Columbia Expedition
amnhc_2000342,Bennett Peruvian Expedition
amnhc_2000343,Brown Vertebrate Palaeontology Expedition
amnhc_2000344,Campbell Africa Expedition
amnhc_2000345,Davison India Expedition
amnhc_2000346,Fleischmann-Clark Indo-China Expedition
amnhc_2000347,Frick Alaska Expedition
amnhc_2000348,Lerner Cape Breton Expedition
amnhc_2000349,Morden Expedition to Brazil
amnhc_2000350,Newsom-Watson Anticosti Island Expedition
amnhc_2000351,Panama Expedition
amnhc_2000352,Rainbow Bridge Expedition
amnhc_2000353,Rumsey British Columbia Expedition
amnhc_2000354,Scarritt Expedition to Rocky Mountains
amnhc_2000355,Schlaikjer Yukon Expedition
amnhc_2000356,Stillman-Durrell Kenai Peninsula Expedition
amnhc_2000357,Bird Chilean Expedition
amnhc_2000358,Templeton Crocker South Pacific Expedition
amnhc_2000359,William D. Campbell African Expedition
amnhc_2000360,Mead Bali Expedition
amnhc_2000361,American Museum Grand Canyon Expedition
amnhc_2000362,Badlands Expedition
amnhc_2000363,Chapin African Expedition
amnhc_2000606,Bird Study Trip to Peru
amnhc_2000607,Bogert Field Trip to Ceylon
amnhc_2000608,Gould Field Trip to Australia
amnhc_2000609,Lanyon Field Trip to West Indies
amnhc_2000610,Turnbull Field Trip to Africa
amnhc_2000611,"Bird Field Trip to Argentina, Chile and Peru"
amnhc_2000612,Colbert Field Trip to Western U.S.
amnhc_2000613,Expedition to Guatemala
amnhc_2000614,Wyoming Field Trip
amnhc_2000615,Bogert Expedition to Mexico
amnhc_2000616,Expedition to Australia
amnhc_2000617,Martin Martinique Expedition
amnhc_2000618,Rozen Field Trips to Arizona and South Africa
amnhc_2000619,Short Field Trip to California and Mexico
amnhc_2000620,Stucker Field Trip to No. Carolina
amnhc_2000621,Expedition to Mozambique
amnhc_2000622,Gould Second Field Trip to Australia
amnhc_2000623,Van Deusen Expedition to Australia and New Guinea
amnhc_2000624,Zweifel Field Trip to New Guinea
amnhc_2000625,Brush Field Trip to Mexico
amnhc_2000626,Gould Field Trip to Australia
amnhc_2000627,Expedition to Antarctica
amnhc_2000628,Alpha Helix Expedition to New Guinea
amnhc_2000629,American Museum French Polynesia Expedition
amnhc_2000630,Bird Field Trip to Chile
amnhc_2000631,Dupree Field Trip to Afghanistan
amnhc_2000632,Expedition to Bahamas
amnhc_2000633,Expedition to Virgin Islands
amnhc_2000634,Friedman South West Africa Expedition
amnhc_2000635,Rozen Field Trip to Chile
amnhc_2000636,Myers Field Trip to Panama and Colombia
amnhc_2000637,Expedition to Guatemala
amnhc_2000638,Jane Belo Fund Expedition
amnhc_2000639,Keith Field Trip to Liberia
amnhc_2000640,Kirsteuer Field Trip to North Africa
amnhc_2000641,Lanyon Expedition to Argentina and Brazil
amnhc_2000642,Tedford Field Trip to Australia
amnhc_2000643,Bird Canal Zone Field Trip
amnhc_2000644,Mozambique Field Trip
amnhc_2000645,Musser Field Trip to Southern Asia
amnhc_2000646,Rio Negro Expedition
amnhc_2000647,Ekholm Mexican Expedition
amnhc_2000648,Mead Field Trip to New Guinea
amnhc_2000649,Newell Expedition to Northwest Africa
amnhc_2000650,Rozen Field Trip to Brazil
amnhc_2000651,Fairservis Field Trips to Pakistan
amnhc_2000652,Thomas Field Trips to Nevada and Georgia
amnhc_2000653,Expedition to Panama
amnhc_2000654,Musser Field Trips to Indonesia
amnhc_2000655,Newell Expeditions to Tunisia
amnhc_2000656,"Tattersall Field Trip to Madagascar, Comoro Islands"
amnhc_2000657,Myers Poison Dart Frog Field Trip
amnhc_2000658,Carneiro Field Trip to Brazil
